,participant,technique_name,block_id,trial_id,cmd_input,cmd_name,cmd_frequency,time,success,strategy
74,0,audio,1,74,4,Cards,48,2.244,1,0
75,0,audio,1,75,6,Mouse,24,2.697,1,0
76,0,audio,1,76,3,Strawberry,144,1.698,1,0
77,0,audio,1,77,4,Cards,48,3.304,1,0
78,0,audio,1,78,6,Mouse,24,2.79,1,0
79,0,audio,1,79,8,Sweater,144,2.011,1,0
80,0,audio,1,80,4,Cards,48,15.259,1,0
81,0,audio,1,81,9,Garlic,48,2.712,1,0
82,0,audio,1,82,8,Sweater,144,2.432,1,0
83,0,audio,1,83,9,Garlic,48,2.135,1,0
84,0,audio,1,84,3,Strawberry,144,1.777,1,0
85,0,audio,1,85,8,Sweater,144,1.792,1,0
86,0,audio,1,86,9,Garlic,48,1.653,1,0
87,0,audio,1,87,8,Sweater,144,2.073,1,0
88,0,audio,1,88,8,Sweater,144,3.616,1,1
89,0,audio,1,89,9,Garlic,48,1.823,1,0
90,0,audio,1,90,10,Frog,24,7.59,1,0
91,0,audio,1,91,8,Sweater,144,1.699,1,0
92,0,audio,1,92,11,Dolphin,72,2.104,1,0
93,0,audio,1,93,10,Frog,24,3.444,1,0
94,0,audio,1,94,11,Dolphin,72,3.616,1,0
95,0,audio,1,95,3,Strawberry,144,2.432,1,0
96,0,audio,1,96,11,Dolphin,72,2.525,1,0
97,0,audio,1,97,7,Coat,36,1.824,1,0
98,0,audio,1,98,11,Dolphin,72,2.088,1,0
99,0,audio,1,99,5,Corn,24,2.229,1,0
100,0,audio,1,100,8,Sweater,144,8.946,1,0
101,0,audio,1,101,11,Dolphin,72,2.026,1,0
102,0,audio,1,102,12,Clock,12,2.478,1,0
103,0,audio,1,103,3,Strawberry,144,2.104,1,0
104,0,audio,1,104,11,Dolphin,72,1.948,1,0
105,0,audio,1,105,7,Coat,36,2.666,1,0
106,0,audio,1,106,13,Camel,12,3.039,1,0
107,0,audio,1,107,8,Sweater,144,1.949,1,0
108,0,audio,1,108,7,Coat,36,1.636,1,0
109,0,audio,1,109,5,Corn,24,2.915,1,0
110,0,audio,1,110,3,Strawberry,144,5.112,1,0
111,0,audio,1,111,8,Sweater,144,1.777,1,0
112,0,audio,1,112,3,Strawberry,144,2.073,1,0
113,0,audio,1,113,0,Pencil,72,2.182,1,0
114,0,audio,1,114,8,Sweater,144,1.886,1,0
115,0,audio,1,115,0,Pencil,72,2.151,1,0
116,0,audio,1,116,0,Pencil,72,1.948,1,0
117,0,audio,1,117,0,Pencil,72,2.338,1,1
118,0,audio,1,118,8,Sweater,144,2.26,1,0
119,0,audio,1,119,3,Strawberry,144,1.808,1,0
120,0,audio,2,120,1,Banana,36,16.646,1,0
121,0,audio,2,121,5,Corn,24,2.166,1,0
122,0,audio,2,122,0,Pencil,72,1.621,1,0
123,0,audio,2,123,1,Banana,36,2.899,1,0
124,0,audio,2,124,2,Karate,24,1.667,1,0
125,0,audio,2,125,0,Pencil,72,2.151,1,0
126,0,audio,2,126,1,Banana,36,2.104,1,0
127,0,audio,2,127,2,Karate,24,1.746,1,0
128,0,audio,2,128,3,Strawberry,144,2.088,1,0
129,0,audio,2,129,8,Sweater,144,2.026,1,0
130,0,audio,2,130,9,Garlic,48,6.359,1,0
131,0,audio,2,131,3,Strawberry,144,2.073,1,0
132,0,audio,2,132,4,Cards,48,2.073,1,0
133,0,audio,2,133,8,Sweater,144,1.949,1,0
134,0,audio,2,134,3,Strawberry,144,2.758,1,0
135,0,audio,2,135,4,Cards,48,1.652,1,0
136,0,audio,2,136,6,Mouse,24,4.146,1,0
137,0,audio,2,137,3,Strawberry,144,2.135,1,0
138,0,audio,2,138,4,Cards,48,1.995,1,0
139,0,audio,2,139,6,Mouse,24,1.481,1,0
140,0,audio,2,140,3,Strawberry,144,11.846,1,0
141,0,audio,2,141,4,Cards,48,1.98,1,0
142,0,audio,2,142,11,Dolphin,72,1.995,1,0
143,0,audio,2,143,8,Sweater,144,1.948,1,0
144,0,audio,2,144,0,Pencil,72,2.027,1,0
145,0,audio,2,145,3,Strawberry,144,1.995,1,0
146,0,audio,2,146,8,Sweater,144,1.731,1,0
147,0,audio,2,147,9,Garlic,48,1.824,1,0
148,0,audio,2,148,10,Frog,24,1.902,1,0
149,0,audio,2,149,8,Sweater,144,1.792,1,0
150,0,audio,2,150,9,Garlic,48,5.596,1,0
151,0,audio,2,151,10,Frog,24,2.01,1,0
152,0,audio,2,152,8,Sweater,144,1.746,1,0
153,0,audio,2,153,9,Garlic,48,1.714,1,0
154,0,audio,2,154,8,Sweater,144,1.73,1,0
155,0,audio,2,155,8,Sweater,144,3.351,1,1
156,0,audio,2,156,3,Strawberry,144,2.478,1,0
157,0,audio,2,157,7,Coat,36,1.746,1,0
158,0,audio,2,158,0,Pencil,72,1.871,1,0
159,0,audio,2,159,8,Sweater,144,2.54,1,0
160,0,audio,2,160,11,Dolphin,72,5.44,1,0
161,0,audio,2,161,11,Dolphin,72,2.306,1,0
162,0,audio,2,162,11,Dolphin,72,1.559,1,0
163,0,audio,2,163,3,Strawberry,144,1.73,1,0
164,0,audio,2,164,8,Sweater,144,5.205,0,1
165,0,audio,2,165,11,Dolphin,72,1.854,1,0
166,0,audio,2,166,7,Coat,36,1.777,1,0
167,0,audio,2,167,7,Coat,36,2.665,1,1
168,0,audio,2,168,11,Dolphin,72,6.733,0,1
169,0,audio,2,169,0,Pencil,72,1.995,1,0
170,0,audio,2,170,5,Corn,24,8.494,1,0
171,0,audio,2,171,3,Strawberry,144,2.229,1,0
172,0,audio,2,172,8,Sweater,144,2.79,1,0
173,0,audio,2,173,12,Clock,12,2.338,1,0
174,0,audio,2,174,3,Strawberry,144,1.792,1,0
175,0,audio,2,175,3,Strawberry,144,2.494,1,1
176,0,audio,2,176,3,Strawberry,144,0.842,1,1
177,0,audio,2,177,0,Pencil,72,7.263,0,0
178,0,audio,2,178,13,Camel,12,2.696,1,0
179,0,audio,2,179,8,Sweater,144,3.336,1,0
180,0,audio,3,180,0,Pencil,72,5.081,1,0
181,0,audio,3,181,1,Banana,36,3.039,1,0
182,0,audio,3,182,5,Corn,24,1.948,1,0
183,0,audio,3,183,0,Pencil,72,2.104,1,0
184,0,audio,3,184,1,Banana,36,2.681,1,0
185,0,audio,3,185,2,Karate,24,1.714,1,0
186,0,audio,3,186,0,Pencil,72,1.652,1,0
187,0,audio,3,187,1,Banana,36,2.041,1,0
188,0,audio,3,188,2,Karate,24,1.746,1,0
189,0,audio,3,189,3,Strawberry,144,2.151,1,0
190,0,audio,3,190,8,Sweater,144,11.004,1,0
191,0,audio,3,191,13,Camel,12,2.323,1,0
192,0,audio,3,192,3,Strawberry,144,1.87,1,0
193,0,audio,3,193,4,Cards,48,1.792,1,0
194,0,audio,3,194,4,Cards,48,1.964,1,0
195,0,audio,3,195,3,Strawberry,144,2.338,1,0
196,0,audio,3,196,4,Cards,48,2.276,1,0
197,0,audio,3,197,10,Frog,24,1.605,1,0
198,0,audio,3,198,3,Strawberry,144,2.494,1,0
199,0,audio,3,199,4,Cards,48,4.317,1,0
200,0,audio,3,200,6,Mouse,24,10.707,1,0
201,0,audio,3,201,3,Strawberry,144,2.821,1,0
202,0,audio,3,202,8,Sweater,144,4.988,1,0
203,0,audio,3,203,6,Mouse,24,2.915,1,0
204,0,audio,3,204,8,Sweater,144,2.822,1,1
205,0,audio,3,205,8,Sweater,144,0.748,1,1
206,0,audio,3,206,8,Sweater,144,0.655,1,1
207,0,audio,3,207,8,Sweater,144,0.608,1,1
208,0,audio,3,208,9,Garlic,48,2.323,1,0
209,0,audio,3,209,9,Garlic,48,4.255,0,1
210,0,audio,3,210,8,Sweater,144,4.52,1,1
211,0,audio,3,211,9,Garlic,48,1.402,1,1
212,0,audio,3,212,10,Frog,24,2.525,1,0
213,0,audio,3,213,8,Sweater,144,0.919,1,1
214,0,audio,3,214,9,Garlic,48,1.2,1,1
215,0,audio,3,215,8,Sweater,144,0.577,1,1
216,0,audio,3,216,8,Sweater,144,0.701,1,1
217,0,audio,3,217,12,Clock,12,2.494,1,0
218,0,audio,3,218,7,Coat,36,1.792,1,0
219,0,audio,3,219,7,Coat,36,2.042,1,1
220,0,audio,3,220,11,Dolphin,72,5.518,1,0
221,0,audio,3,221,11,Dolphin,72,2.572,1,1
222,0,audio,3,222,3,Strawberry,144,2.104,1,0
223,0,audio,3,223,11,Dolphin,72,2.369,1,1
224,0,audio,3,224,7,Coat,36,5.05,0,1
225,0,audio,3,225,0,Pencil,72,2.198,1,0
226,0,audio,3,226,11,Dolphin,72,1.497,1,1
227,0,audio,3,227,3,Strawberry,144,3.522,1,2
228,0,audio,3,228,8,Sweater,144,1.933,1,1
229,0,audio,3,229,11,Dolphin,72,8.744,0,0
230,0,audio,3,230,3,Strawberry,144,4.956,1,0
231,0,audio,3,231,3,Strawberry,144,5.923,0,1
232,0,audio,3,232,11,Dolphin,72,2.976,1,0
233,0,audio,3,233,3,Strawberry,144,1.621,1,1
234,0,audio,3,234,5,Corn,24,2.712,1,0
235,0,audio,3,235,3,Strawberry,144,0.981,1,1
236,0,audio,3,236,0,Pencil,72,2.026,1,0
237,0,audio,3,237,3,Strawberry,144,0.686,1,1
238,0,audio,3,238,0,Pencil,72,1.995,1,1
239,0,audio,3,239,8,Sweater,144,2.182,1,1
240,0,audio,4,240,5,Corn,24,4.848,1,0
241,0,audio,4,241,0,Pencil,72,2.759,1,0
242,0,audio,4,242,1,Banana,36,1.684,1,0
243,0,audio,4,243,5,Corn,24,1.854,1,0
244,0,audio,4,244,0,Pencil,72,1.808,1,0
245,0,audio,4,245,1,Banana,36,1.918,1,0
246,0,audio,4,246,3,Strawberry,144,3.039,1,0
247,0,audio,4,247,0,Pencil,72,1.823,1,0
248,0,audio,4,248,1,Banana,36,1.699,1,0
249,0,audio,4,249,2,Karate,24,1.683,1,0
250,0,audio,4,250,0,Pencil,72,5.642,1,0
251,0,audio,4,251,3,Strawberry,144,1.948,1,0
252,0,audio,4,252,2,Karate,24,1.949,1,0
253,0,audio,4,253,3,Strawberry,144,2.306,1,0
254,0,audio,4,254,3,Strawberry,144,1.637,1,1
255,0,audio,4,255,3,Strawberry,144,0.686,1,1
256,0,audio,4,256,3,Strawberry,144,0.577,1,1
257,0,audio,4,257,4,Cards,48,2.338,1,0
258,0,audio,4,258,3,Strawberry,144,0.888,1,1
259,0,audio,4,259,3,Strawberry,144,0.686,1,1
260,0,audio,4,260,4,Cards,48,5.065,1,0
261,0,audio,4,261,7,Coat,36,1.761,1,0
262,0,audio,4,262,3,Strawberry,144,0.935,1,1
263,0,audio,4,263,4,Cards,48,5.907,0,1
264,0,audio,4,264,6,Mouse,24,1.979,1,0
265,0,audio,4,265,3,Strawberry,144,1.184,1,1
266,0,audio,4,266,0,Pencil,72,1.855,1,0
267,0,audio,4,267,8,Sweater,144,2.12,1,1
268,0,audio,4,268,8,Sweater,144,4.068,0,1
269,0,audio,4,269,0,Pencil,72,2.088,1,0
270,0,audio,4,270,7,Coat,36,4.723,1,0
271,0,audio,4,271,8,Sweater,144,1.465,1,1
272,0,audio,4,272,9,Garlic,48,1.949,1,0
273,0,audio,4,273,8,Sweater,144,1.324,1,1
274,0,audio,4,274,8,Sweater,144,0.841,1,1
275,0,audio,4,275,9,Garlic,48,2.931,1,0
276,0,audio,4,276,10,Frog,24,1.761,1,0
277,0,audio,4,277,8,Sweater,144,1.169,1,1
278,0,audio,4,278,9,Garlic,48,2.447,1,1
279,0,audio,4,279,8,Sweater,144,0.717,1,1
280,0,audio,4,280,8,Sweater,144,3.522,1,1
281,0,audio,4,281,3,Strawberry,144,2.634,1,1
282,0,audio,4,282,8,Sweater,144,0.686,1,1
283,0,audio,4,283,11,Dolphin,72,2.743,1,0
284,0,audio,4,284,8,Sweater,144,4.707,0,1
285,0,audio,4,285,11,Dolphin,72,1.995,1,1
286,0,audio,4,286,11,Dolphin,72,0.858,1,1
287,0,audio,4,287,11,Dolphin,72,0.561,1,1
288,0,audio,4,288,6,Mouse,24,2.135,1,0
289,0,audio,4,289,8,Sweater,144,0.935,1,1
290,0,audio,4,290,11,Dolphin,72,8.651,0,1
291,0,audio,4,291,9,Garlic,48,3.601,1,0
292,0,audio,4,292,12,Clock,12,1.746,1,0
293,0,audio,4,293,7,Coat,36,1.839,1,0
294,0,audio,4,294,11,Dolphin,72,4.879,0,1
295,0,audio,4,295,13,Camel,12,2.042,1,0
296,0,audio,4,296,4,Cards,48,1.667,1,0
297,0,audio,4,297,10,Frog,24,1.87,1,0
298,0,audio,4,298,8,Sweater,144,1.293,1,1
299,0,audio,4,299,3,Strawberry,144,1.59,1,1
300,0,audio,5,300,7,Coat,36,8.697,1,0
301,0,audio,5,301,5,Corn,24,1.777,1,0
302,0,audio,5,302,0,Pencil,72,2.354,1,0
303,0,audio,5,303,7,Coat,36,2.401,1,0
304,0,audio,5,304,8,Sweater,144,1.792,1,1
305,0,audio,5,305,0,Pencil,72,2.011,1,0
306,0,audio,5,306,1,Banana,36,3.102,1,0
307,0,audio,5,307,4,Cards,48,1.777,1,0
308,0,audio,5,308,0,Pencil,72,1.761,1,0
309,0,audio,5,309,1,Banana,36,1.543,1,0
310,0,audio,5,310,2,Karate,24,5.424,1,0
311,0,audio,5,311,0,Pencil,72,1.746,1,0
312,0,audio,5,312,9,Garlic,48,2.058,1,0
313,0,audio,5,313,3,Strawberry,144,2.853,1,0
314,0,audio,5,314,0,Pencil,72,2.042,1,0
315,0,audio,5,315,6,Mouse,24,2.712,1,0
316,0,audio,5,316,2,Karate,24,1.87,1,0
317,0,audio,5,317,3,Strawberry,144,1.699,1,1
318,0,audio,5,318,1,Banana,36,2.868,1,0
319,0,audio,5,319,8,Sweater,144,1.652,1,1
320,0,audio,5,320,3,Strawberry,144,5.876,1,1
321,0,audio,5,321,4,Cards,48,1.808,1,0
322,0,audio,5,322,3,Strawberry,144,1.013,1,1
323,0,audio,5,323,3,Strawberry,144,0.686,1,1
324,0,audio,5,324,4,Cards,48,5.829,0,1
325,0,audio,5,325,8,Sweater,144,1.341,1,1
326,0,audio,5,326,3,Strawberry,144,0.95,1,1
327,0,audio,5,327,9,Garlic,48,3.149,1,0
328,0,audio,5,328,9,Garlic,48,1.652,1,1
329,0,audio,5,329,8,Sweater,144,2.072,1,1
330,0,audio,5,330,8,Sweater,144,3.99,1,1
331,0,audio,5,331,8,Sweater,144,0.639,1,1
332,0,audio,5,332,8,Sweater,144,0.545,1,1
333,0,audio,5,333,3,Strawberry,144,1.028,1,1
334,0,audio,5,334,10,Frog,24,2.68,1,0
335,0,audio,5,335,8,Sweater,144,1.964,1,1
336,0,audio,5,336,11,Dolphin,72,2.291,1,1
337,0,audio,5,337,3,Strawberry,144,1.294,1,1
338,0,audio,5,338,8,Sweater,144,1.59,1,1
339,0,audio,5,339,3,Strawberry,144,0.732,1,1
340,0,audio,5,340,10,Frog,24,6.873,1,1
341,0,audio,5,341,8,Sweater,144,1.449,1,1
342,0,audio,5,342,8,Sweater,144,0.795,1,1
343,0,audio,5,343,0,Pencil,72,2.26,1,0
344,0,audio,5,344,11,Dolphin,72,1.995,1,1
345,0,audio,5,345,3,Strawberry,144,1.434,1,1
346,0,audio,5,346,9,Garlic,48,1.528,1,1
347,0,audio,5,347,11,Dolphin,72,1.309,1,1
348,0,audio,5,348,11,Dolphin,72,0.717,1,1
349,0,audio,5,349,12,Clock,12,2.244,1,0
350,0,audio,5,350,4,Cards,48,6.687,1,0
351,0,audio,5,351,11,Dolphin,72,1.325,1,1
352,0,audio,5,352,11,Dolphin,72,0.654,1,1
353,0,audio,5,353,13,Camel,12,2.431,1,0
354,0,audio,5,354,8,Sweater,144,1.465,1,1
355,0,audio,5,355,5,Corn,24,2.291,1,0
356,0,audio,5,356,7,Coat,36,3.179,1,0
357,0,audio,5,357,6,Mouse,24,2.618,1,0
358,0,audio,5,358,3,Strawberry,144,1.325,1,1
359,0,audio,5,359,3,Strawberry,144,0.795,1,1
360,0,audio,6,360,11,Dolphin,72,34.835,1,1
361,0,audio,6,361,7,Coat,36,5.346,0,1
362,0,audio,6,362,5,Corn,24,1.995,1,0
363,0,audio,6,363,0,Pencil,72,2.291,1,0
364,0,audio,6,364,7,Coat,36,6.39,0,1
365,0,audio,6,365,8,Sweater,144,1.449,1,1
366,0,audio,6,366,0,Pencil,72,6.998,0,1
367,0,audio,6,367,3,Strawberry,144,1.216,1,1
368,0,audio,6,368,9,Garlic,48,6.78,0,1
369,0,audio,6,369,0,Pencil,72,1.745,1,0
370,0,audio,6,370,1,Banana,36,3.834,1,0
371,0,audio,6,371,6,Mouse,24,2.306,1,0
372,0,audio,6,372,0,Pencil,72,2.151,1,0
373,0,audio,6,373,1,Banana,36,1.963,1,0
374,0,audio,6,374,2,Karate,24,6.016,0,0
375,0,audio,6,375,0,Pencil,72,2.229,1,0
376,0,audio,6,376,11,Dolphin,72,5.315,1,0
377,0,audio,6,377,3,Strawberry,144,1.387,1,1
378,0,audio,6,378,3,Strawberry,144,0.857,1,1
379,0,audio,6,379,8,Sweater,144,1.044,1,1
380,0,audio,6,380,4,Cards,48,6.857,1,0
381,0,audio,6,381,3,Strawberry,144,1.169,1,1
382,0,audio,6,382,4,Cards,48,1.621,1,1
383,0,audio,6,383,8,Sweater,144,0.997,1,1
384,0,audio,6,384,3,Strawberry,144,1.091,1,1
385,0,audio,6,385,4,Cards,48,1.387,1,1
386,0,audio,6,386,10,Frog,24,2.619,1,0
387,0,audio,6,387,3,Strawberry,144,1.138,1,1
388,0,audio,6,388,13,Camel,12,2.291,1,0
389,0,audio,6,389,11,Dolphin,72,7.934,0,1
390,0,audio,6,390,3,Strawberry,144,3.6,1,1
391,0,audio,6,391,10,Frog,24,2.431,1,0
392,0,audio,6,392,3,Strawberry,144,0.872,1,1
393,0,audio,6,393,8,Sweater,144,1.107,1,1
394,0,audio,6,394,8,Sweater,144,0.779,1,1
395,0,audio,6,395,0,Pencil,72,2.245,1,0
396,0,audio,6,396,8,Sweater,144,1.044,1,1
397,0,audio,6,397,9,Garlic,48,2.213,1,1
398,0,audio,6,398,1,Banana,36,2.291,1,0
399,0,audio,6,399,8,Sweater,144,1.855,1,1
400,0,audio,6,400,9,Garlic,48,4.348,1,1
401,0,audio,6,401,11,Dolphin,72,3.195,1,0
402,0,audio,6,402,8,Sweater,144,1.699,1,1
403,0,audio,6,403,11,Dolphin,72,6.141,0,1
404,0,audio,6,404,5,Corn,24,2.759,1,0
405,0,audio,6,405,8,Sweater,144,1.653,1,1
406,0,audio,6,406,2,Karate,24,2.01,1,0
407,0,audio,6,407,4,Cards,48,3.336,1,0
408,0,audio,6,408,9,Garlic,48,1.762,1,1
409,0,audio,6,409,11,Dolphin,72,1.777,1,1
410,0,audio,6,410,3,Strawberry,144,3.896,1,1
411,0,audio,6,411,3,Strawberry,144,0.78,1,1
412,0,audio,6,412,8,Sweater,144,1.091,1,1
413,0,audio,6,413,8,Sweater,144,0.748,1,1
414,0,audio,6,414,6,Mouse,24,2.198,1,0
415,0,audio,6,415,3,Strawberry,144,0.966,1,1
416,0,audio,6,416,3,Strawberry,144,0.624,1,1
417,0,audio,6,417,8,Sweater,144,1.076,1,1
418,0,audio,6,418,12,Clock,12,2.135,1,0
419,0,audio,6,419,7,Coat,36,1.854,1,0
420,0,audio,7,420,5,Corn,24,5.035,1,0
421,0,audio,7,421,11,Dolphin,72,2.353,1,1
422,0,audio,7,422,7,Coat,36,6.842,0,1
423,0,audio,7,423,0,Pencil,72,1.995,1,0
424,0,audio,7,424,11,Dolphin,72,1.59,1,1
425,0,audio,7,425,7,Coat,36,1.979,1,1
426,0,audio,7,426,0,Pencil,72,1.808,1,1
427,0,audio,7,427,0,Pencil,72,0.779,1,1
428,0,audio,7,428,8,Sweater,144,2.042,1,1
429,0,audio,7,429,7,Coat,36,1.87,1,1
430,0,audio,7,430,0,Pencil,72,4.832,1,1
431,0,audio,7,431,1,Banana,36,2.572,1,0
432,0,audio,7,432,8,Sweater,144,4.52,0,1
433,0,audio,7,433,0,Pencil,72,1.98,1,1
434,0,audio,7,434,1,Banana,36,1.886,1,1
435,0,audio,7,435,2,Karate,24,2.089,1,0
436,0,audio,7,436,8,Sweater,144,1.371,1,1
437,0,audio,7,437,3,Strawberry,144,0.982,1,1
438,0,audio,7,438,10,Frog,24,2.837,1,0
439,0,audio,7,439,3,Strawberry,144,1.247,1,1
440,0,audio,7,440,11,Dolphin,72,11.954,0,1
441,0,audio,7,441,3,Strawberry,144,0.982,1,1
442,0,audio,7,442,3,Strawberry,144,0.717,1,1
443,0,audio,7,443,13,Camel,12,2.79,1,0
444,0,audio,7,444,3,Strawberry,144,1.107,1,1
445,0,audio,7,445,3,Strawberry,144,0.655,1,1
446,0,audio,7,446,4,Cards,48,1.949,1,0
447,0,audio,7,447,8,Sweater,144,1.73,1,1
448,0,audio,7,448,3,Strawberry,144,0.841,1,1
449,0,audio,7,449,4,Cards,48,3.054,1,1
450,0,audio,7,450,6,Mouse,24,4.956,1,0
451,0,audio,7,451,3,Strawberry,144,1.2,1,1
452,0,audio,7,452,4,Cards,48,6.031,0,1
453,0,audio,7,453,4,Cards,48,0.749,1,1
454,0,audio,7,454,3,Strawberry,144,1.247,1,1
455,0,audio,7,455,9,Garlic,48,6.437,0,1
456,0,audio,7,456,8,Sweater,144,1.34,1,1
457,0,audio,7,457,8,Sweater,144,0.67,1,1
458,0,audio,7,458,9,Garlic,48,1.091,1,1
459,0,audio,7,459,8,Sweater,144,0.576,1,1
460,0,audio,7,460,8,Sweater,144,3.351,1,1
461,0,audio,7,461,9,Garlic,48,0.858,1,1
462,0,audio,7,462,3,Strawberry,144,0.967,1,1
463,0,audio,7,463,8,Sweater,144,1.091,1,1
464,0,audio,7,464,10,Frog,24,2.323,1,0
465,0,audio,7,465,1,Banana,36,2.306,1,0
466,0,audio,7,466,8,Sweater,144,2.073,1,1
467,0,audio,7,467,11,Dolphin,72,2.213,1,1
468,0,audio,7,468,8,Sweater,144,0.842,1,1
469,0,audio,7,469,8,Sweater,144,0.81,1,1
470,0,audio,7,470,9,Garlic,48,3.912,1,1
471,0,audio,7,471,12,Clock,12,1.98,1,0
472,0,audio,7,472,3,Strawberry,144,1.122,1,1
473,0,audio,7,473,6,Mouse,24,2.12,1,0
474,0,audio,7,474,0,Pencil,72,2.182,1,0
475,0,audio,7,475,2,Karate,24,1.902,1,0
476,0,audio,7,476,11,Dolphin,72,1.652,1,1
477,0,audio,7,477,11,Dolphin,72,0.717,1,1
478,0,audio,7,478,3,Strawberry,144,2.042,1,1
479,0,audio,7,479,5,Corn,24,2.619,1,0
480,0,audio,8,480,7,Coat,36,7.996,1,1
481,0,audio,8,481,4,Cards,48,1.886,1,1
482,0,audio,8,482,11,Dolphin,72,1.154,1,1
483,0,audio,8,483,7,Coat,36,1.589,1,1
484,0,audio,8,484,5,Corn,24,6.422,0,1
485,0,audio,8,485,11,Dolphin,72,1.247,1,1
486,0,audio,8,486,8,Sweater,144,1.06,1,1
487,0,audio,8,487,5,Corn,24,3.601,1,1
488,0,audio,8,488,0,Pencil,72,2.541,1,0
489,0,audio,8,489,3,Strawberry,144,4.91,0,1
490,0,audio,8,490,9,Garlic,48,9.882,0,1
491,0,audio,8,491,0,Pencil,72,2.182,1,0
492,0,audio,8,492,9,Garlic,48,0.982,1,1
493,0,audio,8,493,13,Camel,12,2.385,1,0
494,0,audio,8,494,0,Pencil,72,2.229,1,1
495,0,audio,8,495,1,Banana,36,1.902,1,0
